connectivityfeatures:pcmClassification:1:pcmClassification:1:smartphonestf:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonestf.connectivityfeatures,,1,"string,4G\, 3G\, Bluetooth\, USB\, GPS\, Radio"
operatingfrequency:pcmClassification:1:pcmClassification:1:smartphonestf:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonestf.operatingfrequency,,4,"enum,pcmClassification,1,operatingfrequencygsmlte"
frontcamera:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesca.frontcamera,,4,"enum,pcmClassification,1,frontcamera8mp"
colorelectronics:pcmClassification:1:pcmClassification:1:smartphonesgf:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesgf.colorelectronics,,4,"enum,pcmClassification,1,gold"
operatingsystemsmartphones:pcmClassification:1:pcmClassification:1:smartphonesgf3:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesgf3.operatingsystemsmartphones,,4,"enum,pcmClassification,1,operatingsystemsmartphonesandroid60marshmallow"
performancefeatures:pcmClassification:1:pcmClassification:1:electronicstf:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicstf.performancefeatures,,1,"string,This Gionee smartphone runs on octa-core processor and Mediatek MT6755 chipset."
processorsmartphone:pcmClassification:1:pcmClassification:1:smartphonesgf3:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesgf3.processorsmartphone,,4,"enum,pcmClassification,1,processorsmartphoneoctacore"
warrantysummary:pcmClassification:1:pcmClassification:1:electronicswa:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicswa.warrantysummary,,1,"string,1 Year warranty on product & 6 months warranty on box accessories"
inthebox:pcmClassification:1:pcmClassification:1:electronicsinthebox:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsinthebox.inthebox,,1,"string,Handset\, Earphone\, Travel Charger (2A)\, Data Cable\, User Manual\, Warranty Card\, Protective Film and Transparent Cover"
modelnumber:pcmClassification:1:pcmClassification:1:electronicsmodelnumber:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsmodelnumber.modelnumber,,1,"string,S6 Pro"
primarycamera:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesca.primarycamera,,4,"enum,pcmClassification,1,13mp"
videorecording:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesca.videorecording,,4,"enum,pcmClassification,1,1080pat30fps"
multimedia:pcmClassification:1:pcmClassification:1:smartphonesmm:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesmm.multimedia,,4,"enum,pcmClassification,1,multimediamp3mp4mpegavi"
additionalfeatures:pcmClassification:1:pcmClassification:1:smartphonesaf:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesaf.additionalfeatures,,1,"string,Sensors: Fingerprint\, accelerometer\, gyro"
feature1:pcmClassification:1:pcmClassification:1:electronicsdepthproduct:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsdepthproduct.feature1,,1,"string,4 GB RAM and 64 GB ROM (Expandable upto 128 GB)"
feature4:pcmClassification:1:pcmClassification:1:electronicsfeature3:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsfeature3.feature4,,1,"string,Battery Capacity: 3130 mAh"
flash:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesca.flash,,4,"enum,pcmClassification,1,ledflash"
uniquething:pcmClassification:1:pcmClassification:1:electronicsaf:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsaf.uniquething,,1,"string,Selfie Flash"
warrantydescription:pcmClassification:1:pcmClassification:1:electronicswa:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicswa.warrantydescription,,1,"string,1 Year"
simtype:pcmClassification:1:pcmClassification:1:simtypecc:pcmClassification:1,MP000000000595961,pcmClassification/1/simtypecc.simtype,,4,"enum,pcmClassification,1,dualsim"
feature3:pcmClassification:1:pcmClassification:1:electronicsfeature2:pcmClassification:1,MP000000000595961,pcmClassification/1/electronicsfeature2.feature3,,1,"string,13 MP Rear & 8 MP Front Camera"
memorysmartphone:pcmClassification:1:pcmClassification:1:smartphonesms:pcmClassification:1,MP000000000595961,pcmClassification/1/smartphonesms.memorysmartphone,,4,"enum,pcmClassification,1,memorysmartphone64gb"
